city_id,city_name,county,state,postal_code,,,,,,,,,,,
451,Arlington,Snohomish,WA,98223,,,,,,,,,,,
452,Redmond,King,WA,98052,,,,,,,,,,,
453,Woodinville,King,WA,98072,,,,,,,,,,,
454,Woodinville,King,WA,98072,,,,,,,,,,,
455,Bothell,Snohomish,WA,98021,,,,,,,,,,,
456,Auburn,King,WA,98001,,,,,,,,,,,
457,Puyallup,Pierce,WA,98372,,,,,,,,,,,
458,Seatac,King,WA,98188,,,,,,,,,,,
459,South Hill,Pierce,WA,98375,,,,,,,,,,,
460,Seattle,King,WA,98144,,,,,,,,,,,
461,Seattle,King,WA,98122,,,,,,,,,,,
462,Shoreline,King,WA,98155,,,,,,,,,,,
463,Seattle,King,WA,98115,,,,,,,,,,,
464,Edmonds,Snohomish,WA,98026,,,,,,,,,,,
465,Seattle,King,WA,98109,,,,,,,,,,,
466,Shoreline,King,WA,98133,,,,,,,,,,,
467,Seattle,King,WA,98117,,,,,,,,,,,
468,Camas,Clark,WA,98607,,,,,,,,,,,
469,Tacoma,Pierce,WA,98422,,,,,,,,,,,
470,Tacoma,Pierce,WA,98402,,,,,,,,,,,
471,Battle Ground,Clark,WA,98604,,,,,,,,,,,
472,Vancouver,Clark,WA,98662,,,,,,,,,,,
473,Ferndale,Whatcom,WA,98248,,,,,,,,,,,
474,Vancouver,Clark,WA,98661,,,,,,,,,,,
475,Vancouver,Clark,WA,98665,,,,,,,,,,,
476,Port Orchard,Kitsap,WA,98367,,,,,,,,,,,
477,Blaine,Whatcom,WA,98230,,,,,,,,,,,
478,Olympia,Thurston,WA,98516,,,,,,,,,,,
479,Pasco,Franklin,WA,99301,,,,,,,,,,,
480,Kennewick,Benton,WA,99337,,,,,,,,,,,
481,Sammamish,King,WA,98029,,,,,,,,,,,
482,Issaquah,King,WA,98027,,,,,,,,,,,
483,Maple Valley,King,WA,98038,,,,,,,,,,,
484,Bellevue,King,WA,98008,,,,,,,,,,,
